JOB,BASE SALARY,SRV YEARS ,PROG SYMBOL,PROGRAM,WEEKLY LOAD ,LAB
FTF PHYSICS,66983,19,PHS,PHYSICAL SCIENCES ,18,Y
FTF PHYSICS,73395.08,24,PHS,PHYSICAL SCIENCES ,18,Y
FTF POLITICAL SCIENCE,57867,25,POL,POLITICAL SCIENCE ,15,N
FTF POLITICAL SCIENCE,62751,27,POL,POLITICAL SCIENCE ,15,N
FTF POLITICAL SCIENCE,73778,43,POL,POLITICAL SCIENCE ,15,N
FTF PROGRAMMING,55984,2,ITC,INFORMATION TECHNOLOGIES ,15,N
FTF PSYCHOLOGY,56079,2,PSY,PSYCHOLOGY ,15,N
FTF PSYCHOLOGY,56872,2,PSY,PSYCHOLOGY ,15,N
FTF PSYCHOLOGY,57857,5,PSY,PSYCHOLOGY ,15,N
FTF PSYCHOLOGY,57953,8,PSY,PSYCHOLOGY ,15,N
FTF PSYCHOLOGY,58460,9,PSY,PSYCHOLOGY ,15,N
FTF PSYCHOLOGY,58480,12,PSY,PSYCHOLOGY ,15,N
FTF PSYCHOLOGY,59153,25,PSY,PSYCHOLOGY ,15,N
FTF RESPIRATORY CARE,56218,10,RCP,RESPIRATORY CARE ,20,N
FTF SCIENCES & COMPUTING,65354,28,LFS,LIFE SCIENCES ,18,Y
FTF SCIENCES & MATH,56079,3,MAT,MATHEMATICS ,18,N
FTF SCIENCES & MATH,72549,24,MAT,MATHEMATICS ,18,N
FTF SOCIAL & HUMAN SERVICE,56144,3,SHS,SOCIAL & HUMAN SERVICES ,15,N
FTF SOCIAL & HUMAN SERVICE,57687,4,SHS,SOCIAL & HUMAN SERVICES ,15,N
FTF SOCIAL & HUMAN SERVICE,59177,10,SHS,SOCIAL & HUMAN SERVICES ,15,N
FTF SOCIAL SCIENCES-MULTI,62717,21,SSC ,Social Sciences ,15,N
FTF SOCIOLOGY,55984,1,SOC,SOCIOLOGY ,15,N
FTF SOCIOLOGY,64659,18,SOC,SOCIOLOGY ,15,N
FTF SOCIOLOGY,68909,47,SOC,SOCIOLOGY ,15,N
FTF SPANISH,68808,29,SPA,SPANISH ,15,N
FTF SPEECH,55984,1,N/A,COMMUNICATIONS ,15,N
FTF SURGICAL TECHNOLOGY,58418,7,STT,SURGERICAL TECHNOLOGY ,25,N
FTF SVI/BUSINESS COMPUTING,64437,24,SVI/BC,SVI / BUSINESS COMPUTING ,25,N
FTF SVI/DENTAL ASSISTING,58274,9,SVI/MA,SVI/MEDICAL ASSIST,25,N
FTF WATCH TECHNOLOGY,54211,1,HIN,WATCH TECHNOLOGY ,25,N
FTF WATCH TECHNOLOGY,54371,2,HIN,WATCH TECHNOLOGY ,25,N
FTF WELDING FABRICATION,55711,4,WFT,WELDING ,25,N
FTF WELDING FABRICATION,56872,2,WFT,WELDING ,25,N
FTF WELDING FABRICATION,57484,3,WFT,WELDING ,25,N
FTF WINE MAKER,59402,10,HOS,HOSPITATLITY ,25,N
FTF WOOD CONSTRUCTION,60367,14,WCO,WOOD CONSTRUCTION ,25,N
FTF WOOD CONSTRUCTION,65870,18,WCO,WOOD CONSTRUCTION ,25,N
FTF WOOD CONSTRUCTION,67275,30,WCO,WOOD CONSTRUCTION ,25,N
FTF WOOD CONSTRUCTION,68903,24,WCO,WOOD CONSTRUCTION ,25,N
SABBATICAL APPOINTMENT,54261,19,COM,COMMUNICATIONS ,15,N
SABBATICAL APPOINTMENT,59872,18,ENG,ENGLISH ,15,N
SABBATICAL APPOINTMENT,58348,15,LFS,LIFE SCIENCES ,18,Y
SABBATICAL APPOINTMENT,63689,22,MAT,MATHEMATICS ,18,N
